ws	14
lt	71
bn	82
un	85
xu	91
lf	38
gv	95
te	89
mk	43
td	11
ym	53
kq	99
ec	28
ff	69
qb	71
vp	96
qy	65
hr	75
ti	14
ct	81
nu	39
bt	62
im	59
aj	23
ok	75
il	22
tx	28
da	45
bj	48
lk	37
jz	46
ix	83
qw	96
fj	65
az	20
cq	39
md	24
fg	40
ah	42
of	78
lt	75
lf	40
ig	80
dd	29
cu	28
ug	59
nb	69
xn	57
xk	67
fw	37
ik	85
dt	47
wf	11
wz	52
gu	85
ps	20
dw	47
eo	61
sx	41
ns	85
wg	66
to	22
hg	53
jt	58
fc	69
rn	25
he	25
xh	85
pb	53
nw	85
kl	54
cg	78
zp	14
ud	85
mt	18
mm	71
ov	36
qd	59
eb	48
bk	55
fa	43
hj	39
xc	86
ir	36
uo	78
ll	53
qb	94
xi	55
qb	97
lk	87
js	60
fr	32
hc	54
lq	77
dr	88
rh	32
af	35
cy	92
aw	56
kw	74
aj	37
ut	90
uz	68
ja	80
ll	58
da	16
kl	29
jy	86
lh	38
xf	23
jt	27
bt	87
wa	36
oe	43
rl	99
oo	31
op	55
qj	45
pk	79
ir	73
yc	24
ri	25
tp	55
um	37
ys	54
jy	41
dy	70
gh	76
gi	82
od	21
ou	85
ja	14
ab	33
pd	87
wq	84
xv	46
wm	73
lh	25
fy	28
qg	89
vj	84
on	82
jo	92
zl	29
vz	78
qd	92
qn	49
ql	44
ls	97
xh	99
en	15
rs	37
tg	82
ji	79
tp	96
fr	22
wq	26
bb	94
zk	18
dx	84
km	88
fk	92
ko	31
nc	97
hq	28
lk	17
le	59
zt	11
rm	62
ks	94
po	73
mm	66
uj	48
lx	25
yt	34
cj	55
ja	58
np	71
yk	33
gu	92
xt	83
ll	85
sb	90
od	14
ne	13
wg	51
vx	84
dp	97
iz	72
aj	80
of	98
ey	35
mj	96
vr	21
tt	85
ws	22
op	57
tc	50
mf	13
sh	56
bj	94
ef	62
yv	38
kw	63
kz	76
fy	55
pp	75
yi	11
jt	46
py	21
md	35
gb	31
gi	50
im	80
ca	88
lq	57
wz	85
kz	14
wa	61
wc	95
dv	91
hy	18
vg	53
fy	10
qc	50
da	39
xh	49
os	67
yg	61
vq	51
fn	82
eb	23
yr	69
md	26
uc	58
hx	27
ch	26
or	17
hg	42
ay	64
tj	35
hh	35
xl	46
xx	82
km	96
kc	50
pk	18
cw	84
fa	26
ad	46
yq	87
xq	21
iy	71
xq	49
xc	72
ba	21
iq	19
te	47
cl	41
lr	99
nq	37
li	25
wq	87
xb	44
ba	62
el	37
qj	47
lo	32
nj	15
am	20
sf	58
ql	24
bt	69
ff	86
gb	93
gk	37
pn	42
wv	73
rx	49
mz	67
pa	43
jv	30
fw	43
zu	25
ho	66
rc	75
wt	86
jj	89
pg	56
az	61
ix	87
jp	37
er	82
df	37
rg	52
vi	73
bv	44
qu	36
mr	37
we	38
na	48
rh	81
ex	82
bt	55
ll	54
if	63
wt	95
pl	72
ap	40
kz	95
tj	44
sv	24
bh	50
il	22
lv	57
pm	16
bf	79
iq	85
ie	45
ti	67
it	56
ty	65
pq	92
am	29
gf	29
ou	67
nj	53
qb	61
mp	99
je	84
ri	85
di	69
bt	62
lk	42
sk	71
nk	85
hw	94
ue	20
lw	55
lv	60
vx	85
ho	90
gk	63
it	61
et	10
tt	40
nh	32
nk	11
cz	34
jj	31
ya	85
zg	62
iw	16
vb	93
oh	45
op	53
ly	86
wy	80
dq	45
wd	17
qf	29
qf	76
tv	10
ae	31
du	56
mz	78
qy	48
fr	64
xl	46
ic	74
eg	59
tb	56
fr	67
hl	83
dk	95
ol	52
dm	94
pc	38
kk	23
sc	22
td	40
lv	85
ne	24
mo	26
vh	66
du	20
hb	24
cs	17
jn	20
kw	52
oh	48
wq	14
th	77
vo	12
ga	38
iw	36
ml	45
uq	26
on	56
rn	69
eu	28
gk	99
br	53
yb	91
ba	16
qt	90
pu	40
ub	28
zb	65
pm	73
cs	91
dv	55
vh	35
lo	29
in	25
lc	95
ie	76
fi	86
uj	47
na	16
ky	43
mz	41
jf	62
vn	98
hl	24
ti	93
fc	44
yj	89
ja	52
rr	34
li	49
se	10
aq	89
ey	28
uf	43
nm	99
ls	43
an	63
uc	37
hj	56
vh	86
vx	28
ym	21
xn	66
hc	41
hx	64
sh	98
oe	49
xb	50
in	72
nh	71
jh	43
xy	79
jl	37
jj	85
ch	64
tn	73
yv	40
kg	23
ld	50
tp	30
fi	67
qg	47
ag	40
jm	93
vk	77
yv	48
jf	96
ju	97
nr	21
qy	44
fu	80
hc	37
ie	71
ji	87
gf	48
nl	24
nl	47
ag	61
mw	91
ah	41
ux	95
yp	44
eq	95
rm	35
de	92
qd	53
mi	50
cf	43
vd	66
af	96
wr	53
zo	14
is	61
ut	39
sj	59
jr	44
bk	53
vf	48
ae	75
xk	29
nb	53
gk	67
fo	12
cm	26
ut	39
iz	41
cb	14
pu	74
is	16
as	42
os	88
cw	58
pv	26
nk	31
bl	37
pv	32
sy	41
wu	77
oy	10
dp	35
xv	54
ak	59
ty	29
cz	37
nv	43
nu	70
xy	18
bi	23
dh	89
uk	23
fw	34
vl	93
na	15
st	17
iu	29
oc	17
gb	12
ph	30
jf	64
bm	77
zv	96
ij	94
mv	12
ls	67
ag	37
zr	80
ax	35
le	24
iw	51
rf	37
qs	57
tt	62
qd	23
nm	49
fd	78
dm	27
aw	38
jl	18
ik	64
fu	90
ob	83
uf	30
jo	69
wt	58
oc	82
hy	77
lm	17
zf	42
qa	88
tj	86
so	24
ti	65
ii	77
fq	71
bo	12
us	67
ik	45
gl	51
sg	52
mw	65
op	84
nq	24
ce	41
kf	68
oa	34
lg	34
pi	35
gp	79
fb	17
dt	24
ce	57
hz	38
kl	38
zn	11
hj	76
mc	53
ie	73
wl	89
sb	63
dm	80
cd	65
dk	74
tf	60
pr	21
bs	54
mt	51
tv	36
ph	71
be	25
hr	19
ij	49
os	28
pt	87
zw	79
kk	28
qh	28
jz	21
vf	67
yi	23
ce	13
in	84
dc	30
ui	46
cf	50
fz	74
bv	78
tb	78
ph	91
fx	11
qt	23
bz	13
kw	38
kc	83
db	58
mh	59
db	66
ul	89
bq	35
gc	20
pm	47
eb	74
hx	93
ax	99
lu	93
mv	78
zk	50
fp	34
ag	77
tb	39
db	23
ww	12
fx	35
xo	17
xl	80
di	14
eb	98
og	16
af	87
lj	67
qe	46
ak	67
bc	67
ut	63
dy	96
zf	29
rw	92
mp	94
oe	52
rd	59
sm	59
ri	26
uu	11
bt	78
ge	98
ze	37
ac	54
az	90
rt	46
lk	60
ew	60
qd	51
ui	60
fb	44
fw	67
ch	29
fa	74
zk	76
uu	44
cr	81
av	63
ok	37
bh	10
vd	11
pb	26
lr	87
ta	27
pd	28
ty	76
yh	73
iw	16
ht	78
lo	94
of	66
tu	56
gt	92
yz	65
jj	56
xq	92
hx	41
xp	13
np	10
lg	31
ye	46
fz	59
va	87
ii	33
lv	77
ub	78
qr	64
dy	67
ar	82
yy	63
zn	60
mk	79
hx	73
sd	90
zy	15
qq	31
kg	72
cz	26
ms	86
bs	48
tf	75
wh	48
lk	11
ai	33
we	89
tj	95
lv	28
tf	80
cc	24
mf	37
uo	87
dd	77
dq	57
cy	45
pr	16
ss	15
pv	87
kq	84
is	43
qe	75
au	12
tv	28
nv	60
rh	96
bs	91
lm	70
gc	12
kj	10
hr	54
xt	68
by	43
kd	82
ho	71
ee	72
lj	15
rx	53
gl	32
ds	40
dn	32
ls	63
kd	23
ul	13
fb	95
vr	16
wg	29
ae	85
ft	19
kl	84
hk	75
uo	53
zv	61
av	56
yc	97
es	71
cy	93
hg	99
eu	39
ux	98
sw	79
fi	80
fp	23
tw	17
bs	53
zk	27
as	80
wa	18
kq	45
nm	71
th	71
en	63
ur	30
ab	90
pa	40
ak	94
nn	49
fi	33
na	40
wq	77
ks	77
os	84
gu	40
os	36
aa	11
oo	81
ar	79
mm	78
be	49
yo	88
pz	30
ey	45
sx	15
ws	17
yu	75
sg	81
sz	18
ho	97
pv	57
ns	96
wo	10
hm	20
mh	33
iq	53
fj	63
cv	53
pq	52
st	67
fc	64
vt	51
qm	49
fj	57
xv	64
to	35
yk	23
bo	42
ys	87
pj	18
iq	92
ci	28
hw	43
bu	69
zo	59
oh	64
gb	94
vn	91
oa	14
wo	55
oa	88
oz	95
dw	28
lk	40
qr	75
gl	78
ik	27
yp	77
ay	28
xa	94
es	35
hh	95
yp	29
mx	35
cd	27
bj	48
ym	18
iq	39
wm	90
jc	33
bv	88
sz	26
wn	44
qh	75
sq	53
zi	45
bg	39
xt	49
ge	41
ui	85
yp	40
fy	53
tf	51
dz	77
vj	96
ct	41
gl	44
rp	38
tm	94
od	48
xq	24
tb	80
oq	76
ed	87
sz	13
bg	41
ms	16
nd	82
ws	42
nt	45
oy	36
rs	74
pg	54
ge	43
kn	33
ky	18
kn	77
am	40
ml	47
mp	66
qf	61
za	47
eu	96
wk	26
kw	64
bq	84
se	57
zx	81
gn	66
nt	83
hr	85
xr	21
sw	91
mr	98
jp	46
ep	40
uz	12
wa	41
ln	89
gs	34
oe	38
cw	37
ms	27
vf	47
kg	91
jf	45
qt	60
ka	63
nn	13
wk	19
kv	32
nh	13
nu	67
fu	69
rb	39
tw	37
rb	86
az	20
jy	94
mn	71
ir	44
sy	98
nc	39
hv	27
bc	40
sq	91
dr	23
aj	50
xp	23
py	80
la	97
fz	25
vk	68
az	52
zh	95
up	19
zd	17
kd	90
sd	67
xl	77
xj	33
io	61
jg	57
di	24
ei	84
sz	46
yq	41
rd	93
em	71
wg	27
ni	23
jm	81
zs	80
wl	37
mu	81
cv	99
uc	28
sb	90
et	84
lu	91
he	51
